trackingnum,borough,cd,commdist,type_br,type,priority,agencyacro,agency,need,request,explanation,sitename,address,streetsegment,streetcross1,streetcross2,supporters1,supporters2,parent_tracking_code,agyresponsecat,agyresponse,unique_id,geo_function
402202407C,4,02,402,C, ,07,EDC,802,Water supply system,Invest in infrastructure that will support growth in commercial business districts,"Improve streetcape  in business districts to attract and encourage commercial activity within the Commercial corridor at 61st Street / Roosevelt Avenue. To  preserve, support enhance, repair, replace Street lighting, sidewalks, loose bricks. In addition, encourage new businesses and preserve existing businesses.",,61st Street and Roosevelt Avenue,61st Street Roosevelt Avenue,,,,,,8,Securing funding for this request is outside of EDC's jurisdiction; please contact the agency if you have any questions about the EDC budget process.,2821,Intersection-1
413202403C,4,13,413,C, ,03,DOT,841,Senior center programs,Repair or construct new medians or bus pads,Beautify Center Median - curbing,,Hollis Court Boulevard,Hollis Court Boulevard,Hillside Avenue,Jamaica Avenue,Queens Village Civic Association,,,7,The agency will try to accommodate this issue within existing resources.,3518,Intersection-4
401202404C,4,01,401,C,street,04,DPR,846,"Park, buildings, and access improvements","Other requests for park, building, or access improvements",Repair the Seawall & Esplanade in the Vicinity of Astoria Houses and Railings Surrounding the Astoria Houses Esplanade. This Rail is a Hazard and Requires Immediate Attention to Secure the Area.,Astoria Houses;,Astoria Houses Esplanade,Astoria Houses Esplanade,,,,,,5,"This request includes more than one project.  Construction on some of them either has been completed, is underway or should be begin shortly. Further information is needed on the last two items.",2722,1B
302202436E,3,02,102,E,site,36,DOT,841,Community board facilities and staff,Conduct traffic or parking studies,"Allocate funds to install a fully continuous shared street on University Pl. all the way from 14th St. to W. 4th St., as soon as feasible, considering provision for deliveries, drop- off/pickups, emergency and other necessary access. A fully shared street would create a calm and safe
neighborhood environment that further enhances the street's use and enjoyment, which could be even more enhanced by a subsequent greenway.",,University Place,University Place,14th Street,14th Street,,,,8,Please contact the Borough Commissioner's office to discuss this request.,1956,1B
304202436E,3,04,104,E, ,36,DOT,841,Traffic and traffic flow,Address traffic congestion,Study the creation of bus lane on 9th Avenue from 44th street to 57th street to increase the M11 reliability and consistency of its service.,,9th Ave,9th Ave,44th St,44th St,CHEKPEDS,,,8,Further study by the agency of this request is needed.,2087,Intersection-4
305202427C,3,05,105,C, ,27,DOT,841,Transportation infrastructure,"Improve traffic and pedestrian safety, including traffic calming","Provide capital funding to transform Restaurant Row (46th Street between 8th and 9th Avenues) into a safer, better functioning shared street",,46 Street,46 Street,8th ave,,Times Square Alliance,,,8,"Traffic Calming Device requests should be directed to the respective NYCDOT Borough Commissioner (B/C).  The B/C will work with the community to access the need for, and the most effective location, type, and installation of traffic calming devices.",2168,Intersection-2
111202408C,1,11,211,C,general,08,DSNY,827,Transit Infrastructure,Other garbage collection and recycling infrastructure requests,There is a desperate need for trash cans on Morris Park Avenue from Unionport Road through to Adams Street on both sides of Morris Park Avenue.,,Morris Park Avenue,Morris Park Avenue,Unionport Road,Adams Street,,,,10,This is not a budget request. The matter in question is an issue of service delivery and/or agency policy.  Contact the Department of Sanitation to determine how best to resolve this issue.,626,1B
401202413C,4,01,401,C, ,13,DOT,841,Services for homebound older adults,"Improve traffic and pedestrian safety, including traffic calming","Steinway Street is the longest outdoor Shopping Center in the country. The blocks are disproportionally longer than city blocks. Steinway Street requires streetscape improvements. With these improvements, it will enhance connectivity to the local merchants. These improvements will also provide safe passage through out the business district for shoppers. Streetscape improvements should include concrete curb extensions Steinway St, Newtown Rd &30 Ave at mid block signals and corners. A build out of green spaces is also required to create a healthier environment locations are Municipal Parking Lot #2 and Steinway Landmark Clock. This has been started and a portion completed. The project must be fully completed.",,Steinway Street,Steinway Street,30th Avenue,30th Avenue,,,,8,Please contact the Borough Commissioner's office to discuss this request.,2551,Intersection-4
401202424C,4,01,401,C, ,24,EDC,802,After school programs,Invest in capital projects to improve access to waterfront,Hallets Cove Piers: Reconstruct for Waterfront Recreational Use at 31 Avenue and Vernon Boulevard for Community Recreation. This is a vital area to the community which is growing. This reconstruction could provide access that is desperately needed. With a lack of green space upgrades for community use are always sought out and welcomed.,Hallets Cove Piers;,31 Avenue and Vernon Boulevard,Avenue and Vernon Boulevard,,,,,,8,More information is needed from the community board before making a funding decision. The community board should contact the agency.,2759,Intersection-1
401202429C,4,01,401,C, ,29,DPR,846,FDNY programs and staffing,"Reconstruct or upgrade a park or amenity (i.e. playground, outdoor athletic field)",Sean's Place is a highly utilized Park in CD1 and the lack of a slide in the Park has created dismay in the community. The residents have overwhelmingly stated through their Community (Friend's) Group they want a slide installed for use at the park.,Sean's Place;,31-32 38 Street,38 Street,,,,,,6,Parks Department funds are insufficient for this purpose. We recommend this request be brought to the attention of your Council Members.,2769,1B
